Date,Rating,Review_No_x,Review_No_y,Perc
2017-08-11,4,22,157,0.14012738853503184
2017-08-11,5,118,157,0.7515923566878981
2017-08-12,1,8,153,0.05228758169934641
2017-08-12,3,7,153,0.0457516339869281
2017-08-12,4,20,153,0.13071895424836602
2017-08-12,5,118,153,0.7712418300653595
2017-08-13,1,5,182,0.027472527472527472
2017-08-13,2,3,182,0.016483516483516484
2017-08-13,3,3,182,0.016483516483516484
2017-08-13,4,27,182,0.14835164835164835
2017-08-13,5,144,182,0.7912087912087912
2017-08-14,1,6,131,0.04580152671755725
2017-08-14,2,5,131,0.03816793893129771
2017-08-14,3,5,131,0.03816793893129771
2017-08-14,4,19,131,0.1450381679389313
2017-08-14,5,96,131,0.732824427480916
2017-08-15,1,8,129,0.06201550387596899
2017-08-15,2,2,129,0.015503875968992248
2017-08-15,3,5,129,0.03875968992248062
2017-08-15,4,20,129,0.15503875968992248
2017-08-15,5,94,129,0.7286821705426356
2017-08-16,1,9,121,0.0743801652892562
2017-08-16,2,4,121,0.03305785123966942
2017-08-16,3,3,121,0.024793388429752067
2017-08-16,4,19,121,0.15702479338842976
2017-08-16,5,86,121,0.7107438016528925
2017-08-17,1,9,161,0.055900621118012424
2017-08-17,2,1,161,0.006211180124223602
2017-08-17,3,6,161,0.037267080745341616
2017-08-17,4,16,161,0.09937888198757763
2017-08-17,5,129,161,0.8012422360248447
2017-08-18,1,6,152,0.039473684210526314
2017-08-18,3,5,152,0.03289473684210526
2017-08-18,4,22,152,0.14473684210526316
2017-08-18,5,119,152,0.7828947368421053
2017-08-19,1,10,156,0.0641025641025641
2017-08-19,2,3,156,0.019230769230769232
2017-08-19,3,8,156,0.05128205128205128
2017-08-19,4,19,156,0.12179487179487179
2017-08-19,5,116,156,0.7435897435897436
2017-08-20,1,7,170,0.041176470588235294
2017-08-20,3,5,170,0.029411764705882353
2017-08-20,4,27,170,0.1588235294117647
2017-08-20,5,131,170,0.7705882352941177
2017-08-21,1,9,135,0.06666666666666667
2017-08-21,2,5,135,0.037037037037037035
2017-08-21,3,2,135,0.014814814814814815
2017-08-21,4,19,135,0.14074074074074075
2017-08-21,5,100,135,0.7407407407407407
2017-08-22,1,7,134,0.05223880597014925
2017-08-22,2,1,134,0.007462686567164179
2017-08-22,3,4,134,0.029850746268656716
2017-08-22,4,13,134,0.09701492537313433
2017-08-22,5,109,134,0.8134328358208955
2017-08-23,1,6,150,0.04
2017-08-23,2,4,150,0.02666666666666667
2017-08-23,3,1,150,0.006666666666666667
2017-08-23,4,16,150,0.10666666666666667
2017-08-23,5,123,150,0.82
2017-08-24,1,4,117,0.03418803418803419
2017-08-24,2,3,117,0.02564102564102564
2017-08-24,3,1,117,0.008547008547008548
2017-08-24,4,21,117,0.1794871794871795
2017-08-24,5,88,117,0.7521367521367521
2017-08-25,1,13,132,0.09848484848484848
2017-08-25,2,3,132,0.022727272727272728
2017-08-25,3,3,132,0.022727272727272728
2017-08-25,4,9,132,0.06818181818181818
2017-08-25,5,104,132,0.7878787878787878
2017-08-26,1,10,136,0.07352941176470588
2017-08-26,2,2,136,0.014705882352941176
2017-08-26,3,4,136,0.029411764705882353
2017-08-26,4,18,136,0.1323529411764706
2017-08-26,5,102,136,0.75
2017-08-27,1,11,149,0.0738255033557047
2017-08-27,2,3,149,0.020134228187919462
2017-08-27,3,5,149,0.03355704697986577
2017-08-27,4,19,149,0.12751677852348994
2017-08-27,5,111,149,0.7449664429530202
2017-08-28,1,11,152,0.07236842105263158
2017-08-28,2,5,152,0.03289473684210526
2017-08-28,3,9,152,0.05921052631578947
2017-08-28,4,17,152,0.1118421052631579
2017-08-28,5,110,152,0.7236842105263158
2017-08-29,1,4,141,0.028368794326241134
2017-08-29,2,1,141,0.0070921985815602835
2017-08-29,3,4,141,0.028368794326241134
2017-08-29,4,20,141,0.14184397163120568
2017-08-29,5,112,141,0.7943262411347518
2017-08-30,1,2,120,0.016666666666666666
2017-08-30,2,1,120,0.008333333333333333
2017-08-30,3,8,120,0.06666666666666667
2017-08-30,4,15,120,0.125
